name,parent_name,desc,rank
gi-J-3FH56,gi-J-4MLL,"Gekko badenii Szczerbak & Nekrasova, 1994",species
gi-J-4MLL,gi-J-6247T,Gekko,genus
gi-J-6247T,gi-J-87BW6,Gekkonidae,family
gi-J-87BW6,gi-J-BXVXG,Gekkota,superfamily
gi-J-6VPVV,gi-J-6SNZ,"Plethodon montanus Highton & Peabody, 2000",species
gi-J-6SNZ,gi-J-628M6,"Plethodon Tschudi, 1838",genus
gi-J-628M6,gi-J-625RT,"Plethodontinae Gray, 1850",subfamily
gi-J-625RT,gi-J-W3,"Plethodontidae Gray, 1850",family
gi-J-W3,gi-J-PH,Caudata,order
gi-J-PH,gi-J-9CK8W,Amphibia,class
gi-J-35HVJ,gi-J-44GH,"Dicaeum retrocinctum Gould, 1872",species
gi-J-44GH,gi-J-6248X,"Dicaeum Cuvier, 1816",genus
gi-J-6248X,gi-J-3RL,"Dicaeidae Bonaparte, 1853",family
gi-J-4TPZM,gi-J-7B4R,Rumex verticillatus L.,species
gi-J-7B4R,gi-J-93LTK,Rumex L.,genus
gi-J-93LTK,gi-J-627KD,Polygonoideae Eaton,subfamily
gi-J-34QBT,gi-J-62PHB,"Dendrolagus lumholtzi Collett, 1884",species
gi-J-62PHB,gi-J-628L6,"Dendrolagus Müller, 1840",genus
gi-J-628L6,gi-J-CBD,"Macropodinae Gray, 1821",subfamily
gi-J-CBD,gi-J-6238Q,"Macropodidae Gray, 1821",family
gi-J-6238Q,gi-J-35B,"Macropodiformes Ameghino, 1889",suborder
gi-J-35B,gi-J-LJ,"Diprotodontia Owen, 1866",order
gi-J-5TWQX,gi-J-7NNNZ,"Allopeas clavulinum (Potiez & Michaud, 1838)",species
gi-J-7NNNZ,gi-J-7NY73,"Allopeas H. B. Baker, 1935",genus
gi-J-7NY73,gi-J-7NFST,"Subulininae P. Fischer & Crosse, 1877",subfamily
gi-J-7NFST,gi-J-7NGFM,"Achatinidae Swainson, 1840",family
gi-J-7NGFM,gi-J-7NVZB,"Achatinoidea Swainson, 1840",superfamily
gi-J-7NVZB,gi-J-B6L66,Achatinina,suborder
gi-J-B6L66,gi-J-7NVXY,"Stylommatophora A. Schmidt, 1855",order
gi-J-7NVXY,gi-J-7VBDS,"Eupulmonata Haszprunar & Huber, 1990",superorder
gi-J-7VBDS,gi-J-7NF59,Tectipleura,subterclass
gi-J-7NF59,gi-J-7NVXJ,Euthyneura,infraclass
gi-J-7NVXJ,gi-J-BMGTT,"Heterobranchia Burmeister, 1837",subclass
gi-J-BMGTT,gi-J-M2L,"Gastropoda Cuvier, 1795",class
gi-J-M2L,gi-J-N,Mollusca,phylum
gi-J-6YJD4,gi-J-63SNS,"Sericulus chrysocephalus (Lewin, 1808)",species
gi-J-63SNS,gi-J-6276X,"Sericulus Swainson, 1825",genus
gi-J-6276X,gi-J-3RL,Ptilonorhynchidae,family
gi-J-6VGVT,gi-J-6PSC,Phyllostylon rhamnoides (Poiss.) Taub.,species
gi-J-6PSC,gi-J-HNB,Phyllostylon Capan. ex Benth. & Hook.,genus
gi-J-HNB,gi-J-BMGVT,Ulmaceae Mirb.,family
gi-J-VZ97,gi-J-62L7Q,Cleome ornithopodioides L.,species
gi-J-62L7Q,gi-J-8BN,Cleome L.,genus
gi-J-8BN,gi-J-6228L,Cleomaceae Bercht. & J. Presl,family
gi-J-6228L,gi-J-MG,Brassicales Bromhead,order
gi-J-6252B,gi-J-5NG,"Helicopsychidae Ulmer, 1906",family
gi-J-5NG,gi-J-TR2,"Sericostomatoidea Stephens, 1836",superfamily
gi-J-TR2,gi-J-H6,Trichoptera,order
gi-J-VLFG,gi-J-3Q97,"Cisticola woosnami Ogilvie-Grant, 1908",species
gi-J-3Q97,gi-J-89S,"Cisticola Kaup, 1829",genus
gi-J-42PTL,gi-J-5RB4,"Micoureus paraguayanus (Tate, 1931)",species
gi-J-5RB4,gi-J-JFQ,"Micoureus Lesson, 1842",genus
gi-J-3QP7H,gi-J-56JN,Jepsonia malvifolia (Greene) Small,species
gi-J-56JN,gi-J-6278B,Jepsonia Small,genus
gi-J-6278B,gi-J-B7VS8,Saxifragaceae Juss.,family
gi-J-B7VS8,gi-J-MG,Saxifragales Bercht. & J. Presl,order
gi-J-6676Z,gi-J-629GS,"Akialoa lanaiensis (Rothschild, 1893)",species
gi-J-629GS,gi-J-6244D,"Akialoa Olson & James, 1995",genus
gi-J-6244D,gi-J-3RL,"Fringillidae Leach, 1820",family
gi-J-4QMN2,gi-J-75Q7,"Pycnonotus plumosus Blyth, 1845",species
gi-J-75Q7,gi-J-FFJ,"Pycnonotus F. Boie, 1826",genus
